TILENAME,RA_CENT,DEC_CENT
DES0441-0416,70.34445000,-4.26670400
DES2341-0458,355.25863100,-4.98059300
DES0018-1124,4.57734300,-11.40559300
DES0046-1749,11.73841300,-17.83059300
DES0335-1041,53.76174700,-10.69170400
DES0613-1915,93.46449900,-19.25837000
DES2140+0418,325.11332100,4.29996300
DES0357-0833,59.38240800,-8.55003700
DES0056-1332,14.13320100,-13.54725900
DES0126+1000,21.56424400,10.01107400
DES0130+0543,22.62068800,5.72774100
DES0214+0917,33.63627400,9.29718500
DES0251+0835,42.78963500,8.58329600
DES0357+1000,59.26042600,10.01107400
DES0342-0750,55.52053600,-7.83614800
DES2242-0750,340.57627000,-7.83614800
DES2246-0915,341.54574600,-9.26392600
DES0026-1458,6.63428100,-14.97503700
DES0118-1041,19.61619500,-10.69170400
DES0112+0752,18.05667200,7.86940700
DES0455-0416,73.92381400,-4.26670400
DES2106-0458,316.56252300,-4.98059300
DES0142+0626,25.63742500,6.44163000
DES2149+0626,327.44503200,6.44163000
DES0319-0041,49.93502700,-0.69725900
DES0012-0833,3.07328400,-8.55003700
DES0030-0624,7.67073800,-6.40837000
DES0411+0626,62.99550400,6.44163000
DES0515-0333,78.79538400,-3.55281500
DES0527-0416,81.79841600,-4.26670400
DES2120-0458,320.14549600,-4.98059300
DES2226-0416,336.56510400,-4.26670400
DES2258-0458,344.50971300,-4.98059300
DES0228+0835,37.01383400,8.58329600
DES0434+0626,68.74290000,6.44163000
DES0439+0126,69.96316700,1.44440700
DES2227+0626,336.78455200,6.44163000
DES2100-0250,315.02693800,-2.83892600
DES0028-0707,7.08837500,-7.12225900
DES0043-0750,10.84222300,-7.83614800
DES0348+0209,57.16478200,2.15829600
DES0501+0418,75.36254700,4.29996300
DES0519-0041,79.92058100,-0.69725900
DES0328-0833,52.16329000,-8.55003700
DES0351-0833,57.93858500,-8.55003700
DES0401-0707,60.32694600,-7.12225900
DES0259+0001,44.92782000,0.01663000
DES0400+0626,60.12180500,6.44163000
DES0503+0335,75.94017100,3.58607400
DES2318+0543,349.61702200,5.72774100
DES0427-0416,66.76508500,-4.26670400
DES0310-0750,47.59373800,-7.83614800
DES0314-0833,48.55373100,-8.55003700
DES1954+0709,298.74329200,7.15551900
DES0417-0250,64.38614900,-2.83892600
DES0444-0915,71.23778800,-9.26392600
DES0458-0833,74.54255700,-8.55003700
DES2058-0833,314.70518900,-8.55003700
DES0611-1624,92.85826100,-16.40281500
DES0233+1209,38.41297600,12.15274100
DES0404+0418,61.04446600,4.29996300
DES2136+0752,324.00598900,7.86940700
DES2154+0126,328.55872300,1.44440700
DES2357+1834,359.35094800,18.57774100
DES0347-0750,56.96177100,-7.83614800
DES0429-0624,67.29607300,-6.40837000
DES0305+0543,46.29723100,5.72774100
DES2020-0707,305.21652300,-7.12225900
DES2325-0750,351.38553900,-7.83614800
DES0218+1334,34.71095500,13.58051900
DES2109+0626,317.38708800,6.44163000
DES0443-0333,70.92748500,-3.55281500
DES0113+1252,18.25090600,12.86663000
DES2231-0915,337.92913100,-9.26392600
DES0528-1041,82.09529000,-10.69170400
DES0634-1332,98.57997000,-13.54725900
DES0209+0709,32.27732600,7.15551900
DES0240+0917,40.14679900,9.29718500
DES0241+0500,40.41047000,5.01385200
DES2340+0209,355.01235600,2.15829600
DES0004+2043,1.24763100,20.71940700
DES0035-1332,8.99296300,-13.54725900
DES0447-1207,71.98502300,-12.11948100
DES2125+0917,321.29710500,9.29718500
DES0110+0835,17.52050500,8.58329600
DES0045-1541,11.39693700,-15.68892600
DES0408-1250,62.16791300,-12.83337000
DES0413-1541,63.30295900,-15.68892600
DES0225+2043,36.35727000,20.71940700
DES0305+0835,46.39951000,8.58329600
DES0555-0958,88.96457900,-9.97781500
DES2040-0624,310.20053600,-6.40837000
DES0615-1415,93.99097400,-14.26114800
DES1905-1915,286.34311900,-19.25837000
DES0232+1417,38.02848300,14.29440700
DES0428-0124,67.10449900,-1.41114800
DES2223-0333,335.79743700,-3.55281500
DES0034+1043,8.72899000,10.72496300
DES0111+1000,17.93961100,10.01107400
DES2233-0707,338.31077000,-7.12225900
DES2318-0541,349.61268000,-5.69448100
DES0057-1415,14.43944700,-14.26114800
DES0426-1415,66.73721000,-14.26114800
DES0022+0709,5.65610100,7.15551900
DES2143+0418,325.82922500,4.29996300
DES2213-0750,333.37009000,-7.83614800
DES2302-0833,345.74739900,-8.55003700
DES0436-1207,69.06437200,-12.11948100
DES0206+0752,31.74951100,7.86940700
DES0249+1417,42.44866700,14.29440700
DES0249+1252,42.41600300,12.86663000
DES0419+0543,64.95147700,5.72774100
DES2001-0958,300.36986600,-9.97781500
DES0632-1958,98.05658800,-19.97225900
DES0352+0335,58.05793400,3.58607400
DES2110+1417,317.72848000,14.29440700
DES0054-1707,13.60064400,-17.11670400
DES0541-1624,85.41649500,-16.40281500
DES0554-1458,88.66170900,-14.97503700
DES0125+0917,21.33861500,9.29718500
DES2246-0541,341.72095800,-5.69448100
DES0410-1541,62.56144400,-15.68892600
DES2025-0250,306.44974500,-2.83892600
DES2051-0250,312.88263900,-2.83892600
DES2217-0207,334.29359000,-2.12503700
DES0505-0124,76.38786900,-1.41114800
DES0056+0917,14.10469800,9.29718500
DES0552-0624,88.12902200,-6.40837000
DES2346-0915,356.73552700,-9.26392600
DES0448-1624,72.02131500,-16.40281500
DES0507-1458,76.83793600,-14.97503700
DES0622-1124,95.61119000,-11.40559300
DES0424+1209,66.16263100,12.15274100
DES0107+0917,16.99826500,9.29718500
DES0541-1124,85.41539900,-11.40559300
DES0619-1832,94.96369400,-18.54448100
DES0620-1041,95.17231000,-10.69170400
DES0027+2543,6.91528000,25.71663000
DES0349-0333,57.33747800,-3.55281500
DES0357-0333,59.48326900,-3.55281500
DES0048-1207,12.11167900,-12.11948100
DES0508-1707,77.09345900,-17.11670400
DES0559-1250,89.99069600,-12.83337000
DES0154+0626,28.51112300,6.44163000
DES0220+1751,35.00809700,17.86385200
DES0254+0626,43.59804000,6.44163000
DES0412+1043,63.22256700,10.72496300
DES0418+1209,64.70212300,12.15274100
DES2034-0541,308.71921200,-5.69448100
DES0312+0418,48.15819300,4.29996300
DES0451+0252,72.96792600,2.87218500
DES2009-0915,302.48630800,-9.26392600
DES0032-1124,8.21869600,-11.40559300
DES0038-1624,9.51047500,-16.40281500
DES0359+0043,59.93126300,0.73051900
DES0503+0626,75.92714600,6.44163000
DES2207+0752,331.93342200,7.86940700
DES0358-1041,59.57375600,-10.69170400
DES0428-1332,67.00422200,-13.54725900
DES0525-1749,81.48003300,-17.83059300
DES0451+0043,72.78230700,0.73051900
DES0523+0252,80.83058100,2.87218500
DES1954+0543,298.67658000,5.72774100
DES2042-0207,310.71904500,-2.12503700
DES2223-0915,335.75916200,-9.26392600
DES0442+0752,70.66600200,7.86940700
DES0519-0707,79.75183000,-7.12225900
DES2128-0958,322.11543400,-9.97781500
DES0430-1041,67.56526800,-10.69170400
DES0625-1832,96.46966600,-18.54448100
DES0033+0543,8.27126800,5.72774100
DES0440+0209,70.02390500,2.15829600
DES2153-0750,328.32576500,-7.83614800
DES0635-1958,98.81615900,-19.97225900
DES2136+1334,324.20636600,13.58051900
DES0456-0041,74.20904700,-0.69725900
DES2136-0750,324.00205700,-7.83614800
DES0604-1832,91.19876400,-18.54448100
DES0644-1958,101.09487100,-19.97225900
DES2025-0207,306.43276400,-2.12503700
